type,text
noreview,How strong how 
review,- how Its a strong brand in the market- Compensation is better than rest of the market. It has to be in order to compensate for the below-mentioned cons :)-A2
noreview,"FreeMsg Hey there darling it's been 3 week's how and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, •À_1.50 to rcv pragya"
noreview,How long is  how the average tenure of an employee?
review,Good salary and scope to learn new technologies
review,Nice working culture with great environment
review,"You get to work with highly skilled team, and you get to solve high impacting problems. Its a great exposure to kick start your career as it builds industry overview"
review,Best technology team in India
noreview,"How did you get to the company, and to your current position?"
review,good envireonment and good carrer growth
review,Best management. Best infrastructure. Best pay.
review,calm work and no work pressure.
noreview,How can a fresher get a software development job in TCS
review,"Awesome to work, Fun , great culture"
review,"Latest Technology,great benifits, good people"
review,"Great benefits, valued brand,"
noreview,What is TCS Software Engineer Salaries
review,Work life BalanceGood fun time
review,"I started my career from this company and it's much better than I expected. The whole team is young and very friendly. Timings are flexible. One thing I like about startups is you can branch out to other fields too and people here are very open to this idea. Hierarchy is flat, you can reach out to anyone you want directly. Team is very talented and qualified so you have great learning opportunities. Even working as an Intern I never felt like neglected, everyone has equal saying in every decision. And lastly the office lunch. You can order free lunch of your choice on swiggy app. And the food is delicious. So all in all I wasn't expecting this much, but here it is!"
review,"Great exposure to global-level projects, and there are some very talented people in this company."
noreview,nothing to say
noreview,Did not found anything to mention
noreview,"Are you unique enough? Find out from 30th August. www.areyouunique.co.uk"
noreview,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
noreview,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
noreview,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
noreview,"Thanks for your subscription to Ringtone UK your mobile will be charged •À_5/month Please confirm by replying YES or NO. If you reply NO you will not be charged"
noreview,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
noreview,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed •À_1000 cash or •À_5000 prize!
noreview,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
noreview,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
noreview,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
noreview,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
noreview,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
noreview,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
noreview,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
noreview,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
noreview,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
noreview,Valentines Day Special! Win over •À_1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
noreview,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
review,Every where manager may have different attitude
review,bad pay and no vertical growth
review,Uncertain about future projects  and management decision
review,Limited visibility on Product Portfolio
review,Salary should be a bit high.... no Problem in Salary deduction if their is a valid reason but show the reason..
review,"This list is quite long as compared -(i) The company is plagued by the sick old mentalities due to old generation people working over here. These people believe in not imparting work related knowledge and training to their subordinates  so that they them self remain in the limelight. Consequently the new generation being employed is purely depended on itself to gather information and knowledge about the  equipment which was manufactured long ago . The same goes for people working in non-tech field as they also face similar kind of problem. (ii) Annual appraisal is purely based on the amount of oiling that is being done to the seniors by the subordinates and not on the basis of how or what you work.(iii) You will face a totally filthy environment within the office. Every decision made by the management is a decision of the filthy politics that persists in the company.(iv) People are transferred not on the basis of requirement rather on the basis of decisions made on personal relations. (v) Most importantly , the supervisor group of the company is deprived of major facilities of the company, viz promotion policy, pay scale etc. Not even proper work exposure is being given just because the people sitting on top of you dont want you to learn and grow. (vi) The lowest paying Defence PSU among all is GRSE. You are not getting paid much as compared to other shipyards."
review,"Worthless place for normal people. Navy culture dominates all the time . If u r navy entity its best place for u , u will have chance to exploit civilan .And here to be assistant manager is like victim of all. Every one exploit AM.  Many of rules for officers only . Better to be operative instead of officer in this company."
review,"salary is little lesser, slow production"
review,Progress ladder is very slow.
noreview,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend
noreview,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. •À_1.50 increments. Help08718728876"
noreview,"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm"
noreview,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
noreview,"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)"
noreview,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
noreview,URGENT! We are trying to contact you. Last weekends draw shows that you have won a •À_900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
noreview,74355 XMAS iscoming & ur awarded either •À_500 CD gift vouchers & free entry 2 r •À_100 weekly draw txt MUSIC to 87066 TnC
noreview,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost•À_3.75max
review,No overtime is paid if suppose a person has to do overtime.
review,You can try this office
review,i was my dream i join fortune
review,domestic presence only. lacks international appeal
review,"Small room inventory, very little scope for expansion"
review,Communication between sr.management & staff
noreview,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
noreview,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
noreview,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only
noreview,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
noreview,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
review,It's really lovely place. No con's.
review,"If you look at only con's, always"
noreview,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x•À_150pw to e•À_nd txt stop"
review,Horrible top management. No proper incentives scheme
review,Management needs to be more strict
noreview,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
noreview,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
review,hot during summer need more air conditioner
review,nothing to say much about cons
noreview,"Loan for any purpose •À_500 - •À_75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
review,Low pay scaleEmployee motivation is less
review,"company values, geological condition at work place"
review,Salary structure is not Best
review,May work long and unusual hours.
review,Not much professional.Not many benefitsno good HR policies
review,May work long and unusual hours.
review,No More scope for Expert level Engineer
review,Can be a little unorganized to work in such a startup environment
review,It is 12 hours work so feels excused
review,Its a franchisee based store thats why am not happy with that. But i like the brand very much.
review,No Growth especially for off roles
noreview,"Straight away, no-one does freaky with more flair than Shah Rukh Khan - and Fan proves this."
noreview,Casting SRK in a film without songs and romance is a difficult task and Sharma takes up this brave move
review,Its a franchisee based store thats why am not happy with that. But i like the brand very much.
review,No Growth especially for off roles
noreview,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
noreview,"Paradoxically suggests that Saroo managed to go two decades without thinking much about his mother, only to become obsessed with finding her at just the moment the technology made that possible."
noreview,"Lion is a gripping, moving, inspiring film that's high in heart and relatively low in content."
noreview,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri."
noreview,"An astonishing true story that•À_s treated with an admirably light and artistic touch, rather than an overly dramatic heavy hand. Despite a weaker second half, it is ultimately deeply moving."
review,Group ism is a factor to be handled
noreview,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts
noreview,Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412
noreview,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
noreview,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a •À_500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
noreview,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
noreview,Reply to win •À_100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service
noreview,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
review,More extra activities required.
noreview,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04
noreview,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info
noreview,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
noreview,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
noreview,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
review,Very less carrier growth opportunities. very less growth in salary when calculated with experience.since 15 years no change in work culture.just going on job.
noreview,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
noreview,"Bill, as in: Are there any letters for me. i•À_m expecting one from orange that isn•À_t a bill but may still say orange on it."
noreview,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
