label,Question 
invalid,Build a stack using queues and vice versa
valid,Implement doubly linked list
invalid,Asked some questions on Distributed computing, Computer Networks
invalid,Asked some in depth questions on my project
invalid,Are you a leader? why do you think so?
valid,Given a case about leader managing his team and asked some questions like what would you do in that situation
valid,standard HR interview like what are your strengths and weakness, why do you want to join in our company etc
invalid,Mostly Web-based questions and about projects you have done
invalid,Mongo DB, AngularJs, BreezeJs, Neo4j skills are very strong plus to have
valid,What is a Tree/binary search tree, How to perform add, delete operation in BST, whats the time complexity, asked to write complete code on paper
valid,Make a copy of linked list with a random pointer pointing to random node in the linked list, asked to write pseudo code for it
invalid,Some SQL basic sql queries
valid,Algorithm to find GCD
valid,Code of in-order traversal
valid,Matrix traversal algorithm
valid,Fundamentals of data structure
invalid,Questions based course work and project
valid,Tell me about your project?
valid,Tell me about yourself?
valid,Where do you see yourself after few years?
valid,Do you have any questions for us?
valid,Standard HR: Tell me about yourself, why this company and how do you think we help you reach your goals?
valid,Tell me one cool thing you got to do at IIT
invalid,Why did you choose IIT and do you regret it? What's different here?
valid,What is a portfolio? How do you measure risk?
valid,What is beta? What is Value at risk? What is formula for beta?
valid,What is covariance? How does it measure sensitivity? What is volatility?
invalid,What is WACC? How do value a company? Suggest a method that can help you decide on project undertaking?
valid,Tell me about yourself
valid,How are you good than others sitting outside for the interview
valid,Tell me something about your leadership qualities
valid,Have you ever faced challenges?
valid,Your areas of improvement
valid,Industrial experience/Internship/Projects
valid,Technical stuff related to your stream. For ex: mine was ..explain Fe-C diagram
valid,Explain the difference between Moore and Mealy state models
valid,Explain the difference between Moore and Mealy state models
invalid,Draw the state diagram and the clocked D-flipflop circuit for a 0110 sequence detector
valid,What is parity and how is it used? Draw the circuit diagram for a parity checker
valid,Design a memory organization given the size and block units
valid,Draw the circuit diagram for a random number generator
valid,What is a Schmitt trigger/inverter?
invalid,Arrange the inputs to AND gates so that power usage is optimized/delay is optimized
valid,Draw the CMOS circuit for a given logic equation and do the corresponding W/L sizing
invalid,Draw a circuit for a set of logic equations using PLA
invalid,Draw and talk about a basic SRAM cell
valid,Given the delays for gates and wires, draw output waveforms for the given logic circuit
invalid,What is Min-Cut placement algorithm? Given some block sizes, use the algorithm to place them on a given chip area
valid,Given a clock waveform of frequency f, design a circuit to get an output of frequency f/3
valid,Explain a little about your M.Tech. project
valid,What do you know about Qualcomm?
valid,Have you ever worked in groups? What kind of work was it?
invalid,All standard HR questions will be asked
valid,Write the code for printing a matrix in spiral order
invalid,Situation based questions
invalid,He gave me a puzzle to solve
valid,What is your GRE score ?
valid,What is your CAT score ?
valid,Why do you want to join our firm?
valid,Who is the CEO of our company ?
invalid,You have written some PORs in you CV, But I feel this is not at all a POR!!! ?
valid,What are your plans for the future?
invalid,How do people remember you by ? define it in one word
valid,what are your 2 strengths ?
valid,what is your weakness?
invalid,what people dont like in you ?
valid,where do you see yourself 5 years down the line ?
invalid,What is your JEE Rank, 10th and Inter Math score ?
invalid,He too asked me a puzzle on probability
invalid,Demand of TVs next year? Specify one 'good' and one 'bad' approach
valid,What would you suggest Kishore Biyani against us (Flipkart) to stay in competition?
valid,Number of Umbrella sold in India during rainy seasons
valid,Walk be through your CV and explain each thing in detail
valid,Tell me about yourself
valid,Why do you want to join our company?
valid,Why not core? Why consulting?
invalid,Prepare for obvious questions. e.g. In Snapdeal I was asked,
valid,Why not MS?
invalid,Puzzles and Business problems
valid,Why not CAT? GRE?
valid,TELL ME ABOUT YOURSELF
valid,WHY ANALYTICS? WHY YOU? ANYTHING UNIQUE IN YOU WHICH IS NOT AVAILABLE IN ANYONE ELSE?
invalid,WHAT FACTORS YOU CONSIDER IN MARKING THE PRICE OF TELIVISION PRODUCT
invalid,A pseudo code or solution(if you can) for solving the rubik's cube
invalid,Had 2 rounds of interviews consisting of HR + case studies + guesstimates and why ecommerce industry related
invalid,Predict the number of maternity clinics that a new entrant should be looking to open all across India
invalid,All questions about basic of pharmaceutical sciences
invalid,Questions asked about real time challenging situations
invalid,HR interview
invalid,Pricing of a product
invalid,Guesstimate
invalid,Sales force optimization
valid,Say something about yourself?
invalid,Asked on college project
invalid,Which programming language do you know?
invalid,What is class, encapsulation and other feature of OOP?
invalid,Write a program to find the sum of the squares of each term of Fibonacci series
invalid,What can I do for you?
valid,Why would you like to join Cognizant?
valid,Introduction o f myself(based on resume)
invalid,Probability puzzle
valid,Write algorithm for a coding problem statement
invalid,Finance questions based on recent happenings
invalid,Questions on Logical, Verbal & Quantitative Aptitude
invalid,Why DB is agood choice?
valid,What does Sabre do?
invalid,What is OR?
invalid,What opinion do you have about the moth courses that you have done?
invalid,You are from Bio.tech department. Why not app?
invalid,Help a Vancouver based company's innovotion cell to enter India's rural market
invalid,Decide whether a copper processing unit should be near the mine or market
invalid,Whether banks should roll out ATM's or outsource them
invalid,How to invest Rs.500 crore in the power sector
valid,Why do you think you fit into the scheme of things?
invalid,Questions on Copenhagen Summit, carbon dioxide density, carbon monoxide properties
invalid,Why IOCL?
invalid,Questions on projects/internships
valid,A modelling problem
valid,A DSA problem
invalid,Explaining your B.Te\xc3\x82\xc2\xb7ch I intern project
invalid,Explaining other projects
invalid,General intent in life and lurure plans if any
invalid,NAND, NOR structures and their sizing and how they would vary depending on loads
invalid,Timing analysis questions
invalid,Design flow for a chip development
invalid,Questions on timings. delay in digital circuits
valid,Where energy is consumed in transistors?
invalid,Based on given situation
valid,Tell an instance where you were doing things which you didn\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t like and your reaction
invalid,What does American Express do? What is the AmEx Credit Card Model?
valid,How will you stay motivated through dull phases of your career?
valid,Why do you want to join our company?
valid,Why do you prefer a career in investment banking over consulting?
invalid,Identifying the reasons for loss incurred by a motel (relevant data was provided)
invalid,Evaluating different aspects of setting up a business
invalid,Guesstimate: Estimate the number of windows in a skyscraper
invalid,Estimate the scope of 4G in India. Is introducing 4G a good idea? (reason)
invalid,A foreign elevator company operating in India is incurring losses. What are the likely issues and how can they be fixed?
invalid,Questions based on Analytics
valid,Estimate the revenue of the company?
valid,What does EXL do?
invalid,Questions from Probability, Markov Chains, Induction
invalid,Discussion on economics of Multiplex Chain based in City of Kolkata
invalid,Market Entry case (In India) of a healthcare giant that has built a product that cures Cataract
invalid,Investigation of profitability issues of a Coffee Vending Machine Operator
